Name,Description,Quantite,DateExperation,idfournisseur
Hematoxylin and Eosin Stain,Histological stain used for tissue samples in pathology,500,25/02/2025,1
Lactate Dehydrogenase (LDH) Reagent Kit,Enzyme assay for measuring LDH levels in blood, used in diagnostics,500,25/02/2025,1
Glucose Oxidase,Enzyme used in blood glucose test kits for detecting glucose levels,500,25/02/2025,1
Immunoglobulin G (IgG) Antibody,Used in immunoassays to detect and quantify IgG antibodies in patient samples,500,25/02/2025,1
Coagulation Factor VIII Reagent,Used in clotting assays to measure Factor VIII levels for hemophilia diagnosis,500,25/02/2025,1
Complete Blood Count (CBC) Reagent Set,Includes various reagents for analyzing red and white blood cells and platelets in blood,500,25/02/2025,1
Alanine Aminotransferase (ALT) Assay Kit,Enzyme assay for quantifying ALT levels in liver function tests,500,25/02/2025,1
Troponin T Assay Reagent,Used for detecting cardiac troponin T levels in blood for diagnosing heart-related issues,500,25/02/2025,1
C-Reactive Protein (CRP) Test Reagent,Immunoassay reagent for measuring CRP levels, an indicator of inflammation,500,25/02/2025,1
Prothrombin Time (PT) Reagent,Used in blood clotting tests to measure the time it takes for blood to clot,500,25/02/2025,1
